CSSRA,CSSDec,objID,raMean,decMean,raMeanErr,decMeanErr,qualityFlag,gMeanPSFMag,gMeanPSFMagErr,gMeanPSFMagNpt,rMeanPSFMag,rMeanPSFMagErr,rMeanPSFMagNpt,iMeanPSFMag,iMeanPSFMagErr,iMeanPSFMagNpt,rMeanKronMag,rMeanKronMagErr,nDetections,ng,nr,ni,gFlags,gQfPerfect,rFlags,rQfPerfect,iFlags,iQfPerfect,primaryDetection,bestDetection
17.0160007,0.113186,108130170160176254,17.01599589,0.11317581,0.00925000011920929,0.00508000003173947,52,19.7423000335693,0.0204230006784201,13,19.7420997619629,0.0122130000963807,17,19.6599006652832,0.0195729993283749,17,19.8693008422852,0.0145610002800822,72,14,17,19,115000,0.999720990657806,115000,0.999818027019501,115000,0.999597012996674,1,1
17.0160007,0.113186,108130170160176254,17.01599589,0.11317581,0.00925000011920929,0.00508000003173947,52,19.7423000335693,0.0204230006784201,13,19.7420997619629,0.0122130000963807,17,19.6599006652832,0.0195729993283749,17,19.8693008422852,0.0145610002800822,72,14,17,19,115000,0.999720990657806,115000,0.999818027019501,115000,0.999597012996674,1,1
19.8222103,0.110144,108130198222102629,19.82220979,0.11012151,0.0125099997967482,0.0112600000575185,52,21.0170993804932,0.0258089993149042,14,20.6044998168945,0.0192740000784397,14,20.7597007751465,0.0182840004563332,22,20.5639991760254,0.0530259981751442,60,14,14,22,115000,0.999720990657806,115000,0.999373972415924,115000,0.999714970588684,1,1
25.6651859,0.115522,108130256651629140,25.6651749,0.11552415,0.0257900003343821,0.0255999993532896,53,20.7968997955322,0.0483159981667995,5,19.4589004516602,0.0174300000071526,11,18.972900390625,0.014037000015378,20,19.038200378418,0.0179490000009537,63,5,11,22,16892216,0.999705016613007,16892216,0.999673008918762,16892216,0.999745011329651,1,1
34.4174385,0.11289,108130344174215908,34.41748198,0.11285786,0.0119700003415346,0.00855000037699938,52,21.1702995300293,0.0365340001881123,7,20.863000869751,0.0254360008984804,16,20.121000289917,0.0146009996533394,16,20.9846992492676,0.0328910015523434,63,8,16,18,115000,0.999684989452362,115000,0.99967497587204,115000,0.99906998872757,1,1
308.6066589,0.109865,108133086066662271,308.60666272,0.1098474,0.0287299994379282,0.00677999993786216,52,18.9606990814209,0.00822400022298098,14,18.7308006286621,0.00467200018465519,16,18.6756992340088,0.00328899989835918,19,18.7737007141113,0.00897200033068657,97,17,17,27,115000,0.999840974807739,115000,0.999660015106201,115000,0.999327003955841,1,1
310.2348938,0.115945,108133102348899535,310.234934,0.11593191,0.00784000009298325,0.00800999999046326,52,20.402099609375,0.0287219993770123,16,20.1147003173828,0.011587000451982,13,20.0046005249023,0.0210529994219542,8,20.2530994415283,0.0173760000616312,61,16,18,10,115000,0.999813973903656,115000,0.999599993228912,115000,0.999750971794128,1,1
320.7073975,0.110212,108133207073502736,320.70735486,0.11020448,0.00535999983549118,0.0054199998266995,52,19.5865001678467,0.00513199996203184,15,19.2842998504639,0.00495400000363588,13,19.1847991943359,0.00641700020059943,23,19.3764991760254,0.00983799993991852,83,17,14,28,115000,0.999719977378845,115000,0.999328017234802,115000,0.99916398525238,1,1
330.0822144,0.111153,108133300821923819,330.08225487,0.11115684,0.00312000000849366,0.00188999995589256,52,19.2754001617432,0.0101549997925758,8,18.9559001922607,0.00253900000825524,10,18.7992000579834,0.00724700000137091,23,19.0466003417969,0.00911299977451563,66,8,10,24,115000,0.999698996543884,115000,0.999668002128601,115000,0.999584019184113,1,1
330.4438477,0.115082,108133304438668577,330.44385217,0.11506331,0.00645999982953072,0.00528999976813793,52,18.5998992919922,0.00242000003345311,9,18.6040000915527,0.00851100031286478,8,18.7015991210938,0.00463500013574958,28,18.6989994049072,0.00672899978235364,77,10,12,32,115000,0.999692022800446,115000,0.999701976776123,115000,0.999673008918762,1,1
335.5540466,0.114283,108133355541497624,335.55415166,0.11428381,0.0146899996325374,0.0105200000107288,52,20.906099319458,0.0565190017223358,7,20.1354999542236,0.0180159993469715,9,19.7975006103516,0.0131149999797344,24,20.202600479126,0.048675000667572,74,12,14,32,16892216,0.999749004840851,115000,0.998821973800659,16892216,0.99923300743103,1,1
335.5540466,0.114283,108133355541497624,335.55415166,0.11428381,0.0146899996325374,0.0105200000107288,52,20.906099319458,0.0565190017223358,7,20.1354999542236,0.0180159993469715,9,19.7975006103516,0.0131149999797344,24,20.202600479126,0.048675000667572,74,12,14,32,16892216,0.999749004840851,115000,0.998821973800659,16892216,0.99923300743103,1,1
335.5540466,0.114283,108133355541497624,335.55415166,0.11428381,0.0146899996325374,0.0105200000107288,52,20.906099319458,0.0565190017223358,7,20.1354999542236,0.0180159993469715,9,19.7975006103516,0.0131149999797344,24,20.202600479126,0.048675000667572,74,12,14,32,16892216,0.999749004840851,115000,0.998821973800659,16892216,0.99923300743103,1,1
357.3624878,0.108907,108133573624401145,357.36247597,0.10888626,0.0111400000751019,0.00730999978259206,52,19.3843002319336,0.0117659997195005,9,19.1648998260498,0.00650600017979741,10,19.0776996612549,0.0119829997420311,11,19.2310009002686,0.0267379991710186,60,10,12,13,115000,0.999292016029358,115000,0.999440014362335,115000,0.999148011207581,1,1
23.5688457,0.121907,108140235687946781,23.56886115,0.12188798,0.00732999993488193,0.00522999977692962,52,19.3659992218018,0.0137170003727078,11,19.1567993164063,0.010245000012219,12,19.0858001708984,0.00690300017595291,14,19.2994995117188,0.0167100001126528,60,11,13,17,115000,0.999678015708923,115000,0.999616980552673,115000,0.999822974205017,1,1
40.4881363,0.117662,108140404881391640,40.48813543,0.1176566,0.00670999987050891,0.00356999994255602,52,18.9069004058838,0.0334170013666153,2,18.6487998962402,0.00647700019180775,10,18.4629993438721,0.0050459997728467,8,18.7406005859375,0.0187079999595881,46,3,15,11,114992,0.999661028385162,115000,0.998703002929688,115000,0.999673008918762,1,1
40.4881363,0.117662,108140404881391640,40.48813543,0.1176566,0.00670999987050891,0.00356999994255602,52,18.9069004058838,0.0334170013666153,2,18.6487998962402,0.00647700019180775,10,18.4629993438721,0.0050459997728467,8,18.7406005859375,0.0187079999595881,46,3,15,11,114992,0.999661028385162,115000,0.998703002929688,115000,0.999673008918762,1,1
40.4881363,0.117662,108140404881391640,40.48813543,0.1176566,0.00670999987050891,0.00356999994255602,52,18.9069004058838,0.0334170013666153,2,18.6487998962402,0.00647700019180775,10,18.4629993438721,0.0050459997728467,8,18.7406005859375,0.0187079999595881,46,3,15,11,114992,0.999661028385162,115000,0.998703002929688,115000,0.999673008918762,1,1
40.4881363,0.117662,108140404881391640,40.48813543,0.1176566,0.00670999987050891,0.00356999994255602,52,18.9069004058838,0.0334170013666153,2,18.6487998962402,0.00647700019180775,10,18.4629993438721,0.0050459997728467,8,18.7406005859375,0.0187079999595881,46,3,15,11,114992,0.999661028385162,115000,0.998703002929688,115000,0.999673008918762,1,1
40.4881363,0.117662,108140404881391640,40.48813543,0.1176566,0.00670999987050891,0.00356999994255602,52,18.9069004058838,0.0334170013666153,2,18.6487998962402,0.00647700019180775,10,18.4629993438721,0.0050459997728467,8,18.7406005859375,0.0187079999595881,46,3,15,11,114992,0.999661028385162,115000,0.998703002929688,115000,0.999673008918762,1,1
40.4881363,0.117662,108140404881391640,40.48813543,0.1176566,0.00670999987050891,0.00356999994255602,52,18.9069004058838,0.0334170013666153,2,18.6487998962402,0.00647700019180775,10,18.4629993438721,0.0050459997728467,8,18.7406005859375,0.0187079999595881,46,3,15,11,114992,0.999661028385162,115000,0.998703002929688,115000,0.999673008918762,1,1
40.4881363,0.117662,108140404881391640,40.48813543,0.1176566,0.00670999987050891,0.00356999994255602,52,18.9069004058838,0.0334170013666153,2,18.6487998962402,0.00647700019180775,10,18.4629993438721,0.0050459997728467,8,18.7406005859375,0.0187079999595881,46,3,15,11,114992,0.999661028385162,115000,0.998703002929688,115000,0.999673008918762,1,1
40.4881363,0.117662,108140404881391640,40.48813543,0.1176566,0.00670999987050891,0.00356999994255602,52,18.9069004058838,0.0334170013666153,2,18.6487998962402,0.00647700019180775,10,18.4629993438721,0.0050459997728467,8,18.7406005859375,0.0187079999595881,46,3,15,11,114992,0.999661028385162,115000,0.998703002929688,115000,0.999673008918762,1,1
40.4881363,0.117662,108140404881391640,40.48813543,0.1176566,0.00670999987050891,0.00356999994255602,52,18.9069004058838,0.0334170013666153,2,18.6487998962402,0.00647700019180775,10,18.4629993438721,0.0050459997728467,8,18.7406005859375,0.0187079999595881,46,3,15,11,114992,0.999661028385162,115000,0.998703002929688,115000,0.999673008918762,1,1
40.4881363,0.117662,108140404881391640,40.48813543,0.1176566,0.00670999987050891,0.00356999994255602,52,18.9069004058838,0.0334170013666153,2,18.6487998962402,0.00647700019180775,10,18.4629993438721,0.0050459997728467,8,18.7406005859375,0.0187079999595881,46,3,15,11,114992,0.999661028385162,115000,0.998703002929688,115000,0.999673008918762,1,1
