# object_id,ra,dec,patch_s,tract
40133295400311336,208.99502413886015,-2.066172481347627,"8,5",9125
40136864518130656,211.6598816703111,-2.2086011183081555,"2,4",9126
40136868813099640,211.57942709843,-2.0317942176949564,"2,5",9126
40136881698007136,211.56194470668058,-1.4938279536437775,"2,8",9126
40137135101065264,211.21569873390044,-2.3595894494996075,"4,3",9126
40137551712899880,210.6400256229266,-2.255394840369663,"7,4",9126
40137560302836632,210.60192202968435,-1.884176658978113,"7,6",9126
40137697741795544,210.57634758665827,-1.7727681900770165,"8,6",9126
40141271154581432,213.0119820190958,-1.9204405418468777,"2,6",9127
40141275449553408,213.11752248424548,-1.6392841049331683,"2,7",9127
40141279744514616,213.08348876248317,-1.5697732032163974,"2,8",9127
40141412888504768,213.00226703080966,-1.6838650254311454,"3,7",9127
40141683471442384,212.4451881650117,-1.8934814379429972,"5,6",9127
40141949759410944,212.17286162631495,-2.2504901973912035,"7,4",9127
40141954054381304,212.08211029212694,-2.0440562051052638,"7,5",9127
40145385733241448,214.88168489860988,-2.303538541647004,"0,4",9128
40145531762140288,214.7495914780981,-1.8364551079141385,"1,6",9128
40145660611134720,214.56382810790097,-2.2904686865936803,"2,4",9128
40145660611152696,214.6027835588809,-2.2218502232174235,"2,4",9128
40146085812916200,214.08426222040822,-1.7598415836908265,"5,7",9128
40146343510959504,213.6542855848657,-2.3844509755564127,"7,3",9128
40146360690824960,213.65558972513205,-1.750232448234633,"7,7",9128
40149783779757088,216.48412774521327,-2.236658929613175,"0,4",9129
40149792369697792,216.41661142160768,-1.8401530288896604,"0,6",9129
40149916923744904,216.27452737998826,-2.4544200366001956,"1,3",9129
40149916923745864,216.26942352621487,-2.425073230585311,"1,3",9129
40150058657667816,216.0521383734734,-2.317803341297099,"2,4",9129
40150067247586808,216.16020488135732,-1.770261838093333,"2,6",9129
40150071542570200,216.06225724276896,-1.6674227187205262,"2,7",9129
40150071542574664,215.99315654002112,-1.584850259374678,"2,7",9129
40150191801649104,215.88229341699184,-2.3474931997610033,"3,3",9129
40150333535574544,215.6466539272884,-2.170304252250725,"4,4",9129
40150337830538344,215.74924662658267,-2.076462136349294,"4,5",9129
40150342125507176,215.6684249705138,-1.8700687464815564,"4,6",9129
40150346420474256,215.64238518531707,-1.7281993215555518,"4,7",9129
40150346420474912,215.65133307721334,-1.714744898475523,"4,7",9129
40150350715443744,215.73837529540933,-1.54856363604352,"4,8",9129
40150612708446960,215.24090103714985,-2.0452019540893374,"6,5",9129
40154323560189800,217.74105597694276,-2.0555418260693266,"1,5",9130
40154332150128992,217.77430812017877,-1.6815160578577726,"1,7",9130
40154336445094976,217.8129326906664,-1.5300570660007748,"1,8",9130
40154456704175800,217.58216603571074,-2.291408836899718,"2,4",9130
40154456704176256,217.5789383020993,-2.2789035036622676,"2,4",9130
40154598438097800,217.40269760975272,-2.067940938944964,"3,5",9130
40154731582080528,217.19705709978928,-2.3076618883104585,"4,4",9130
40154873316001728,217.090196573557,-2.107934397349726,"5,5",9130
40154873316004072,217.08844068101885,-2.0425577208461547,"5,5",9130
40154886200909232,217.02585452714774,-1.4944584577315054,"5,8",9130
