# RA Dec
3.649353029999999620e+01 1.015867899999999935e+00
3.829016879999999645e+01 -7.653590000000000115e-01
3.448252868999999805e+02 -9.633461999999999303e-01
3.391674039999999479e+01 -5.009819999999999274e-01
2.012017060000000157e+01 2.543679999999999830e-01
2.127414699999999925e+01 7.703750000000000320e-01
3.312263183999999683e+02 1.249624000000000068e+00
5.731420520000000352e+01 7.683229999999999782e-01
3.578610840000000053e+02 -4.874919999999999809e-01
3.714851760000000525e+01 -9.984790000000001164e-01
3.939156720000000433e+01 -5.279340000000000144e-01
2.289748949999999894e+01 1.231543199999999949e+00
1.121135040000000060e+01 -1.092310199999999787e+00
1.815563960000000066e+01 3.249589999999999979e-01
8.809445399999999537e+00 5.531501999999999253e-01
3.575127563000000350e+02 -1.102037199999999828e+00
6.402602200000000465e+00 4.728180000000000160e-01
5.084161760000000641e+01 7.853799999999999670e-02
3.319260863999999742e+02 6.068819999999999215e-01
3.451538391000000274e+02 8.913349999999999884e-01
1.937137600000000148e+01 3.635019999999999918e-01
2.051942060000000012e+01 6.591529999999999889e-01
3.286374816999999666e+02 1.161489999999999911e+00
3.355540465999999924e+02 1.142829999999999957e-01
3.518643949999999876e+01 1.066577000000000108e+00
6.355193099999999262e+00 -1.203908200000000095e+00
3.257485045999999898e+02 1.263883000000000090e+00
2.411873049999999807e+01 -6.717579999999999663e-01
3.210113524999999868e+02 8.164000000000000423e-02
3.593010863999999742e+02 -9.948360000000000536e-01
3.385783996999999772e+02 3.163829999999999698e-01
2.000276100000000223e+00 -5.943999999999999631e-03
3.579552916999999752e+02 3.592359999999999998e-01
5.366190000000000460e+00 1.072305199999999958e+00
3.458999633999999332e+02 7.298000000000000667e-03
4.815404509999999760e+01 -1.228641000000000094e+00
3.260068053999999620e+02 -1.243172999999999861e+00
1.500398159999999947e+01 5.526630000000000154e-01
2.239266010000000406e+01 4.745909999999999851e-01
3.720103839999999451e+01 -1.055880000000000152e-01
2.166331669999999932e+01 1.106889000000000012e+00
1.127309890000000081e+01 5.285330000000000306e-01
5.822881700000000649e+01 1.209130000000000038e+00
3.326256103999999709e+02 1.211924399999999791e+00
3.108103942999999845e+02 6.572599999999999276e-02
3.371734923999999864e+02 3.716150000000000286e-01
3.544520873999999822e+02 4.978390000000000315e-01
3.246150513000000046e+02 3.412769999999999970e-01
2.800284960000000467e+01 1.035514999999999963e+00
1.259679889999999958e+01 4.650540000000000229e-01
3.397763671999999815e+02 1.135059999999999958e+00
