# skymap_id,tract,patch,mjd,taiobs
98050603,9805,"6,3",57106.4034679825,2015-03-25 09:40:59.634000
98060206,9806,"2,6",57454.3968372149,2016-03-07 09:31:26.735000
98050802,9805,"8,2",57340.5892127454,2015-11-14 14:08:27.981000
98050705,9805,"7,5",57454.4119975511,2016-03-07 09:53:16.588000
98050802,9805,"8,2",57340.6249900879,2015-11-14 14:59:59.144000
98060206,9806,"2,6",57454.4141179393,2016-03-07 09:56:19.790000
98050603,9805,"6,3",57106.4292047881,2015-03-25 10:18:03.294000
98060206,9806,"2,6",57454.4162668334,2016-03-07 09:59:25.454000
98050603,9805,"6,3",57340.5892127454,2015-11-14 14:08:27.981000
98050506,9805,"5,6",57106.4034679825,2015-03-25 09:40:59.634000
98050603,9805,"6,3",57340.6076946608,2015-11-14 14:35:04.819000
98060207,9806,"2,7",57340.5920650032,2015-11-14 14:12:34.416000
98050603,9805,"6,3",57340.6249900879,2015-11-14 14:59:59.144000
98050506,9805,"5,6",57340.5892127454,2015-11-14 14:08:27.981000
98060207,9806,"2,7",57340.6098160166,2015-11-14 14:38:08.104000
98050603,9805,"6,3",57340.6398088438,2015-11-14 15:21:19.484000
98050506,9805,"5,6",57340.6076946608,2015-11-14 14:35:04.819000
98050502,9805,"5,2",57106.4292047881,2015-03-25 10:18:03.294000
98060306,9806,"3,6",57340.6098160166,2015-11-14 14:38:08.104000
98050702,9805,"7,2",57106.3970345664,2015-03-25 09:31:43.787000
98060502,9806,"5,2",57340.6034341743,2015-11-14 14:28:56.713000
98070004,9807,"0,4",57807.30195462,2017-02-23 07:14:48.879000
98060503,9806,"5,3",57454.4141179393,2016-03-07 09:56:19.790000
98060504,9806,"5,4",57340.6098160166,2015-11-14 14:38:08.104000
98060504,9806,"5,4",57454.3806840479,2016-03-07 09:08:11.102000
98060207,9806,"2,7",57454.4141179393,2016-03-07 09:56:19.790000
98060305,9806,"3,5",57454.3968372149,2016-03-07 09:31:26.735000
98060305,9806,"3,5",57454.4162668334,2016-03-07 09:59:25.454000
98060503,9806,"5,3",57454.3806840479,2016-03-07 09:08:11.102000
98070107,9807,"1,7",57340.611929765,2015-11-14 14:41:10.732000
98060601,9806,"6,1",57340.5920650032,2015-11-14 14:12:34.416000
98050603,9805,"6,3",57454.4119975511,2016-03-07 09:53:16.588000
98050501,9805,"5,1",57340.6207667012,2015-11-14 14:53:54.243000
98060208,9806,"2,8",57454.3674779646,2016-03-07 08:49:10.096000
98060800,9806,"8,0",57340.5920650032,2015-11-14 14:12:34.416000
98050501,9805,"5,1",57340.6398088438,2015-11-14 15:21:19.484000
98060208,9806,"2,8",57454.4162668334,2016-03-07 09:59:25.454000
98060306,9806,"3,6",57454.3827936989,2016-03-07 09:11:13.376000
98070003,9807,"0,3",57807.30195462,2017-02-23 07:14:48.879000
98060800,9806,"8,0",57340.6207667012,2015-11-14 14:53:54.243000
98060305,9806,"3,5",57340.6098160166,2015-11-14 14:38:08.104000
98060202,9806,"2,2",57454.3827936989,2016-03-07 09:11:13.376000
