# ra,dec,g_cmodel_mag,g_cmodel_magsigma,r_cmodel_mag,r_cmodel_magsigma,i_cmodel_mag,i_cmodel_magsigma,g_psfflux_mag,g_psfflux_magsigma,r_psfflux_mag,r_psfflux_magsigma,i_psfflux_mag,i_psfflux_magsigma,object_id,g_psfflux_flag,r_psfflux_flag,i_psfflux_flag,g_cmodel_flag,r_cmodel_flag,i_cmodel_flag,g_pixelflags_edge,r_pixelflags_edge,i_pixelflags_edge,g_pixelflags_bad,r_pixelflags_bad,i_pixelflags_bad,g_pixelflags_interpolatedcenter,r_pixelflags_interpolatedcenter,i_pixelflags_interpolatedcenter,g_pixelflags_saturatedcenter,r_pixelflags_saturatedcenter,i_pixelflags_saturatedcenter,g_pixelflags_crcenter,r_pixelflags_crcenter,i_pixelflags_crcenter
20.253031226169604,-0.2552854041200165,20.2309799,0.00113785791,20.1301346,0.00103057118,20.173748,0.00287537463,20.2651787,0.00113763614,20.184845,0.00104179245,20.2323151,0.00287992135,40638941900067800,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20.253031226169604,-0.2552854041200165,20.2309799,0.00113785791,20.1301346,0.00103057118,20.173748,0.00287537463,20.2651787,0.00113763614,20.184845,0.00104179245,20.2323151,0.00287992135,40638941900067800,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20.253031226169604,-0.2552854041200165,20.2309799,0.00113785791,20.1301346,0.00103057118,20.173748,0.00287537463,20.2651787,0.00113763614,20.184845,0.00104179245,20.2323151,0.00287992135,40638941900067800,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20.253031226169604,-0.2552854041200165,20.2309799,0.00113785791,20.1301346,0.00103057118,20.173748,0.00287537463,20.2651787,0.00113763614,20.184845,0.00104179245,20.2323151,0.00287992135,40638941900067800,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20.253031226169604,-0.2552854041200165,20.2309799,0.00113785791,20.1301346,0.00103057118,20.173748,0.00287537463,20.2651787,0.00113763614,20.184845,0.00104179245,20.2323151,0.00287992135,40638941900067800,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20.253031226169604,-0.2552854041200165,20.2309799,0.00113785791,20.1301346,0.00103057118,20.173748,0.00287537463,20.2651787,0.00113763614,20.184845,0.00104179245,20.2323151,0.00287992135,40638941900067800,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20.253031226169604,-0.2552854041200165,20.2309799,0.00113785791,20.1301346,0.00103057118,20.173748,0.00287537463,20.2651787,0.00113763614,20.184845,0.00104179245,20.2323151,0.00287992135,40638941900067800,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20.045784410103888,-0.5529441367776706,18.6481133,0.000945544685,18.6881695,0.00079759059,18.7495689,0.00124162494,18.6547852,0.000943153107,18.691761,0.000796027365,18.758913,0.0012336137,40639070749091506,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
20.045784410103888,-0.5529441367776706,18.6481133,0.000945544685,18.6881695,0.00079759059,18.7495689,0.00124162494,18.6547852,0.000943153107,18.691761,0.000796027365,18.758913,0.0012336137,40639070749091506,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
20.0148264204307,-0.344001022341895,18.8818245,0.000635512173,18.5381088,0.000529410143,18.4158955,0.00086641463,18.9781303,0.000623104919,18.5412159,0.000528048084,18.4068451,0.000862570363,40639075044058082,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
